Date,SWP_CSn_z5,SWP_CSt_z5,SWP_CI_z5,SWP_CSn_z20,SWP_CSt_z20,SWP_CI_z20
10/01/2009 23:00:,1835,2066.667,2099,2066.333,2095.333,2088
10/02/2009 00:00:,1821,2066.25,2099,2067,2095.25,2088.25
10/02/2009 01:00:,1824.75,2066.5,2099,2066.5,2095,2088.5
10/02/2009 02:00:,1847.5,2066.5,2099,2066.75,2095,2088.5
10/02/2009 03:00:,1826.75,2066.75,2099,2067,2095.25,2089
10/02/2009 04:00:,1847.75,2066.5,2099,2067,2095.25,2088.75
10/02/2009 05:00:,1829.5,2067,2099,2066.75,2095,2088.5
10/02/2009 06:00:,1821,2066.25,2099.25,2067,2095,2088
10/02/2009 07:00:,1820.5,2066,2099,2066.75,2095,2088.25
10/02/2009 08:00:,1822,2066.5,2099,2067,2095.5,2088.5
10/02/2009 09:00:,1829.25,2067.5,2098.25,2066.25,2095.5,2088
10/02/2009 10:00:,1857,2067.75,2097,2066,2095.25,2087.5
10/02/2009 11:00:,1836.5,2067.5,2097,2066.25,2095,2088
10/02/2009 12:00:,1832.25,2068.25,2097,2066,2095,2088
10/02/2009 13:00:,1789.5,2069,2097,2065.5,2095.25,2088
10/02/2009 14:00:,1780.75,2069,2097,2066,2095.5,2088
10/02/2009 15:00:,1784.5,2068,2097,2066,2095.25,2088
10/02/2009 16:00:,1791,2067.25,2097.75,2066,2095.25,2088
10/02/2009 17:00:,1792.75,2067,2099,2066.25,2095,2087.75
10/02/2009 18:00:,1770.25,2066.5,2099,2066.25,2095,2088
10/02/2009 19:00:,1775.75,2066.25,2099,2066.5,2095.25,2088
10/02/2009 20:00:,1783.25,2066.25,2099,2066.25,2095,2088
10/02/2009 21:00:,1779.5,2066.5,2099,2067,2095,2088
10/02/2009 22:00:,1778.25,2066.25,2099,2066.5,2095,2088
10/02/2009 23:00:,1774.25,2066.75,2099,2067,2095.25,2088
10/03/2009 00:00:,1806.5,2066,2099,2067,2095,2088
10/03/2009 01:00:,1818.5,2066.5,2099,2067,2095,2088
10/03/2009 02:00:,1823.75,2066.25,2099.25,2066.25,2095,2088
10/03/2009 03:00:,1822.75,2066.5,2099.25,2066.75,2095,2088
10/03/2009 04:00:,1822,2066.5,2099,2066.5,2095,2087.25
10/03/2009 05:00:,1823.25,2066,2099.75,2066.75,2095,2088
10/03/2009 06:00:,1826.5,2066,2099.75,2066.5,2095,2088.25
10/03/2009 07:00:,1828.75,2066.5,2099.25,2066.75,2095,2088
10/03/2009 08:00:,1833.25,2066.5,2099,2066,2095.25,2088
10/03/2009 09:00:,1840,2067.25,2098.25,2066,2095.25,2087.75
10/03/2009 10:00:,1854.5,2067.5,2097.25,2065.75,2095.25,2087
10/03/2009 11:00:,1843.5,2067.5,2097,2066,2095.5,2087
10/03/2009 12:00:,1843.25,2068,2097,2065.5,2095,2087.75
10/03/2009 13:00:,1842.25,2068.25,2097,2066,2095,2088.25
10/03/2009 14:00:,1845.75,2068,2097,2066,2095.25,2088
10/03/2009 15:00:,1834.75,2067.75,2097.25,2066,2095,2088
10/03/2009 16:00:,1826.75,2067.25,2098,2066,2095.25,2088
10/03/2009 17:00:,1831.75,2067.25,2099,2066,2095.25,2087.75
10/03/2009 18:00:,1824.5,2066.25,2099.25,2066.25,2095,2088
10/03/2009 19:00:,1825.25,2066,2099,2066.5,2095,2088
10/03/2009 20:00:,1838.25,2066.25,2099,2066,2095,2088
10/03/2009 21:00:,1842.25,2065.75,2099,2066.25,2094.75,2087
10/03/2009 22:00:,1865.5,2066,2099,2066.5,2095,2087.5
10/03/2009 23:00:,1829.25,2066.25,2099,2066.5,2095,2087.25
10/04/2009 00:00:,1844,2065.75,2099,2066.25,2095,2087
10/04/2009 01:00:,1840,2066.25,2099,2065.75,2095,2087.75
10/04/2009 02:00:,1837.25,2066.5,2099,2066.25,2095,2087.5
10/04/2009 03:00:,1835.75,2067,2099.5,2066.75,2095,2088
10/04/2009 04:00:,1853.5,2066.75,2099.25,2066.75,2095,2088.25
10/04/2009 05:00:,1844.75,2067,2099.5,2066.25,2094.75,2088.25
10/04/2009 06:00:,1839.75,2067,2099,2066.5,2094.75,2088
10/04/2009 07:00:,1839,2066.25,2099,2066.75,2094.75,2088
10/04/2009 08:00:,1862.25,2066.5,2099.25,2066.5,2095,2088
10/04/2009 09:00:,1852.75,2067.5,2098.5,2066,2095,2087.75
10/04/2009 10:00:,1844.25,2067.25,2097,2066,2095.25,2087.25
10/04/2009 11:00:,1846.75,2067.75,2097,2065.75,2095.5,2088
10/04/2009 12:00:,1836.75,2068.25,2097.25,2065.75,2095,2088
10/04/2009 13:00:,1852.75,2068.25,2097,2065.75,2095,2088
10/04/2009 14:00:,1833.25,2068.25,2097,2065.75,2095.25,2088
10/04/2009 15:00:,1827,2068,2097,2066,2095,2088
10/04/2009 16:00:,1817,2067.5,2097.75,2066,2095,2088
10/04/2009 17:00:,1820.25,2067.5,2098.75,2066.5,2095.25,2088.25
10/04/2009 18:00:,1818.75,2066,2099,2066,2095,2088
10/04/2009 19:00:,1820.5,2066.25,2099,2066.25,2095,2088
10/04/2009 20:00:,1821.5,2066,2099,2066,2095,2088
10/04/2009 21:00:,1821.5,2066,2099,2066,2095,2088
10/04/2009 22:00:,1823.75,2066.25,2099,2066.25,2095.25,2088
10/04/2009 23:00:,1826.5,2066,2099,2066.5,2095,2088
10/05/2009 00:00:,1828,2066,2099,2066.25,2095,2088
10/05/2009 01:00:,1830,2066.25,2099,2066.5,2095,2088
10/05/2009 02:00:,1826.25,2066.25,2099,2066.25,2095,2088
10/05/2009 03:00:,1824.75,2066.5,2099,2066.5,2094.75,2087.25
