Date,TS_CS_z0,TS_CI_z0,TS_CS_z5,TS_CI_z5,TS_CS_z10,TS_CI_z10,TS_CS_z20,TS_CI_z20,TS_CS_z50,TS_CI_z50
10/01/2009 23:00:,9.257,9.217,9.65,9.64,9.397,9.077,8.957,9.877,8.222,8.943
10/02/2009 00:00:,8.47,8.562,8.717,9.025,8.527,8.273,8.258,9.127,7.262,8.173
10/02/2009 01:00:,7.854,8.006,8.008,8.533,7.737,7.972,7.69,8.508,6.725,7.335
10/02/2009 02:00:,7.617,7.867,7.815,8.353,7.633,7.681,7.464,8.36,6.418,7.343
10/02/2009 03:00:,7.133,7.427,7.317,7.927,7.176,7.294,7.002,7.864,5.937,6.949
10/02/2009 04:00:,6.399,6.763,6.522,7.322,6.299,6.912,6.311,7.194,5.283,6.091
10/02/2009 05:00:,5.335,5.811,5.128,6.567,4.809,6.329,5.394,6.243,4.343,4.345
10/02/2009 06:00:,5.469,5.901,5.461,6.588,5.152,6.225,5.513,6.364,4.473,4.604
10/02/2009 07:00:,6.168,6.525,6.38,7.037,6.173,6.912,6.133,7.101,5.171,5.802
10/02/2009 08:00:,9.097,8.662,11.465,8.944,9.217,8.775,7.917,10.015,7.606,8.775
10/02/2009 09:00:,13.828,12.305,15.125,12.13,12.723,13.928,12.672,15.105,12.955,11.848
10/02/2009 10:00:,17.315,14.725,18.98,13.795,16.66,16.922,17.293,17.488,19.587,14.957
10/02/2009 11:00:,19.66,15.155,20.843,13.808,18.572,19.07,19.95,18.418,22.34,17.51
10/02/2009 12:00:,23.085,16.678,23.782,15.277,22.795,21.77,21.205,20.293,29.072,19.98
10/02/2009 13:00:,24.012,17.84,25.185,17.273,25.06,24.872,22.86,21.053,31.39,23.157
10/02/2009 14:00:,22.97,18.133,24.723,17.85,25.193,22.335,22.262,20.46,30.105,22.955
10/02/2009 15:00:,19.06,15.23,20.91,14.24,21.538,17.195,17.195,17.178,22.552,18.532
10/02/2009 16:00:,15.422,12.765,16.848,12.045,17.47,13.355,13.47,14.363,15.97,15.168
10/02/2009 17:00:,10.727,10.19,11.567,9.8,11.643,9.84,10.32,10.783,10.268,11.133
10/02/2009 18:00:,8.683,8.925,9.225,8.697,9.328,8.39,8.908,9.293,8.024,9.265
10/02/2009 19:00:,8.363,8.635,8.88,8.46,8.918,8.123,8.537,9.02,7.684,8.777
10/02/2009 20:00:,7.923,8.19,8.46,8.05,8.558,7.76,8.002,8.555,7.219,8.428
10/02/2009 21:00:,6.594,7.013,6.874,7.211,6.899,7.211,6.773,7.45,5.625,6.628
10/02/2009 22:00:,7.291,7.478,7.496,7.582,7.581,7.566,7.295,7.965,6.374,7.2
10/02/2009 23:00:,7.122,7.441,7.485,7.556,7.498,7.51,7.191,7.854,6.158,7.222
10/03/2009 00:00:,5.758,6.484,6.08,6.765,6.129,6.617,5.972,6.769,4.733,5.945
10/03/2009 01:00:,5.456,6.156,5.773,6.411,5.829,6.213,5.604,6.388,4.443,5.667
10/03/2009 02:00:,4.838,5.666,5.103,5.989,5.171,5.88,5.029,5.865,3.828,5.045
10/03/2009 03:00:,4.412,5.291,4.595,5.665,4.662,5.617,4.64,5.51,3.393,4.511
10/03/2009 04:00:,3.216,4.096,2.922,4.728,2.782,4.894,3.729,4.37,2.268,2.451
10/03/2009 05:00:,2.316,3.162,1.892,3.849,1.722,4.218,3.002,3.461,1.437,1.361
10/03/2009 06:00:,2.022,2.909,1.876,3.546,1.826,3.842,2.795,3.398,1.24,1.285
10/03/2009 07:00:,2.826,3.522,2.978,4.034,2.929,4.353,3.287,4.112,2.194,2.298
10/03/2009 08:00:,8.218,8.335,12.597,8.784,8.088,8.233,6.084,9.427,5.904,7.588
10/03/2009 09:00:,16.615,16.782,19.258,17.383,14.49,16.97,13.495,17.543,15.093,13.885
10/03/2009 10:00:,20.955,18.67,22.155,19.375,19.323,20.377,19.328,20.025,24.09,18.365
10/03/2009 11:00:,23.315,18.395,24.02,17.483,21.152,21.682,21.483,19.723,26.182,21.205
10/03/2009 12:00:,24.727,18.79,24.227,18.22,23.585,22.207,22.127,19.688,31.05,21.955
10/03/2009 13:00:,24.505,19.152,24.31,19.622,24.587,24.293,23.26,19.66,31.538,24.355
10/03/2009 14:00:,22.99,18.085,23.027,18.727,24.157,20.35,21.895,18.233,29.45,23.723
10/03/2009 15:00:,21.765,17.207,21.92,16.747,23.668,18.613,18.483,17.84,25.185,21.645
10/03/2009 16:00:,18.032,15.027,18.85,14.282,20.98,15.773,15.008,15.985,19.13,18.835
10/03/2009 17:00:,11.358,10.88,11.783,11.043,11.987,11.505,11.127,11.24,11.436,11.393
10/03/2009 18:00:,6.678,7.087,5.465,7.847,5.521,8.848,7.658,7.383,6.501,5.867
10/03/2009 19:00:,6.236,6.608,5.551,7.38,5.523,8.02,6.904,7.134,6.033,5.408
10/03/2009 20:00:,5.732,6.242,5.26,6.955,5.233,7.505,6.339,6.775,5.47,4.992
10/03/2009 21:00:,5.366,5.944,4.943,6.598,4.95,7.09,6.048,6.511,5.045,4.703
10/03/2009 22:00:,4.879,5.499,4.465,6.189,4.435,6.664,5.586,6.061,4.541,4.17
10/03/2009 23:00:,4.961,5.518,4.481,6.107,4.467,6.578,5.601,5.923,4.659,4.31
10/04/2009 00:00:,6.495,6.875,5.818,7.203,5.855,7.793,7.006,6.954,6.328,6.019
10/04/2009 01:00:,5.203,5.786,4.636,6.377,4.516,6.802,6.092,5.985,4.915,4.614
10/04/2009 02:00:,3.823,4.423,3.312,5.182,3.201,5.731,4.685,4.94,3.492,3.046
10/04/2009 03:00:,3.968,4.49,3.534,5.116,3.445,5.697,4.677,4.999,3.637,3.305
10/04/2009 04:00:,3.96,4.56,3.562,5.18,3.423,5.729,4.756,5.081,3.543,3.324
10/04/2009 05:00:,3.335,3.983,2.936,4.644,2.759,5.195,4.191,4.522,2.822,2.635
10/04/2009 06:00:,3.134,3.764,2.785,4.408,2.626,4.986,3.925,4.295,2.613,2.495
10/04/2009 07:00:,3.446,4.036,3.197,4.64,3.013,5.224,4.176,4.601,3.054,2.888
10/04/2009 08:00:,7.992,9.006,12.307,9.511,7.209,8.518,6.615,9.809,5.738,7.331
10/04/2009 09:00:,16.69,17.755,19.578,18.038,13.738,16.265,13.262,17.448,14.11,13.285
10/04/2009 10:00:,21.575,20.11,23.585,20.43,19.995,20.258,19.17,20.9,23.938,18.455
10/04/2009 11:00:,24.712,19.953,26.235,19.14,23.1,23.055,21.53,21.483,27.872,22.543
10/04/2009 12:00:,25.885,19.47,25.165,19.255,24.855,23.115,21.865,20.532,31.788,22.863
10/04/2009 13:00:,26.27,19.59,25.477,20.637,26.055,25.303,23.785,20.398,32.81,25.795
10/04/2009 14:00:,25.95,19.473,25.005,20.29,26.175,22.335,23.095,19.755,31.545,25.78
10/04/2009 15:00:,23.295,18.545,23.753,18.218,25.82,20.317,19.615,19.152,26.777,23.66
10/04/2009 16:00:,19.177,15.9,20.155,15.207,22.617,16.902,15.87,17.188,20.11,20.233
10/04/2009 17:00:,11.94,11.45,12.572,11.59,12.856,12.335,11.77,11.965,12.035,12.253
10/04/2009 18:00:,7.206,7.586,6.192,8.387,6.231,9.322,8.328,8.097,7.3,6.512
10/04/2009 19:00:,6.685,7.089,6.136,7.889,6.092,8.455,7.466,7.779,6.638,5.979
10/04/2009 20:00:,6.286,6.805,5.907,7.521,5.889,8.008,7.038,7.501,6.116,5.674
10/04/2009 21:00:,5.848,6.419,5.503,7.139,5.476,7.548,6.656,7.108,5.584,5.245
10/04/2009 22:00:,5.615,6.162,5.251,6.868,5.213,7.331,6.331,6.791,5.359,4.979
10/04/2009 23:00:,5.492,6.021,5.151,6.67,5.155,7.1,6.182,6.642,5.229,4.923
10/05/2009 00:00:,5.51,6.142,5.256,6.765,5.208,7.119,6.34,6.731,5.213,5.037
10/05/2009 01:00:,4.718,5.403,4.436,6.074,4.331,6.424,5.648,5.999,4.368,4.132
10/05/2009 02:00:,4.598,5.277,4.304,5.963,4.161,6.364,5.485,5.868,4.231,3.981
