Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,Prain_below_canopy[mm],Psnow_below_canopy[mm],Prain_above_canopy[mm],Prain_above_canopy[mm],Pnet[mm],Tair[C],Tsurface[C],Tvegetation[C],Evap_surface[mm],Transpiration_canopy[mm],LE[W/m2],H[W/m2],SW[W/m2],LW[W/m2],LEv[W/m2],Hv[W/m2],SWv[W/m2],LWv[W/m2],SWin[W/m2],LWin[W/m2],Mass_balance_error[mm],Mean_Time_Step[s]
09/04/2014 19:00,735698.791667,0.041667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.880000,3.855105,3.876737,0.041872,0.000869,28.982016,-34.888445,0.622548,-9.416710,0.601620,-90.369509,2.939341,-44.810170,3.371623,287.757719,0.000002,3600.000000
09/04/2014 20:00,735698.833333,0.083333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.650000,3.906342,4.433142,0.034146,0.000000,23.633785,-30.420755,0.000000,-7.289797,0.000000,-55.626302,0.000000,-48.889932,0.000000,289.384817,0.000000,3600.000000
09/04/2014 21:00,735698.875000,0.125000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.470000,3.858139,4.435925,0.031273,0.000000,21.645820,-27.154017,0.000000,-7.049583,0.000000,-48.879180,0.000000,-48.782471,0.000000,289.418273,0.000002,3600.000000
09/04/2014 22:00,735698.916667,0.166667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.250000,3.727925,4.251921,0.028202,0.000000,19.522285,-23.176745,0.000000,-7.267794,0.000000,-45.766868,0.000000,-47.933577,0.000000,288.699534,0.000000,3600.000000
09/04/2014 23:00,735698.958333,0.208333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.000002,3.585703,4.069574,0.029152,0.000000,20.182529,-22.728544,0.000000,-7.574323,0.000000,-45.980312,0.000000,-48.134864,0.000000,287.251600,0.000007,3600.000000
10/04/2014 00:00,735699.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.970000,3.526989,4.034794,0.032827,0.000000,22.727827,-26.013294,0.000000,-7.671541,0.000000,-49.110749,0.000000,-49.528900,0.000000,286.080216,0.000299,3600.000000
10/04/2014 01:00,735699.041667,0.291667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.790000,3.398203,3.887844,0.032540,0.000000,22.531673,-24.731357,0.000000,-7.938899,0.000000,-48.262419,0.000000,-50.020165,0.000000,284.497571,0.000000,3600.000000
10/04/2014 02:00,735699.083333,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.910001,3.361952,3.873499,0.034282,0.000000,23.739119,-27.073805,0.000000,-8.044801,0.000000,-51.274598,0.000000,-51.447080,0.000000,283.426772,0.000000,3600.000000
10/04/2014 03:00,735699.125000,0.375000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.210000,3.288598,3.721616,0.025418,0.000000,17.602123,-20.742619,0.000000,-8.280438,0.000000,-48.612106,0.000000,-50.361917,0.000000,283.322476,0.000304,3600.000000
10/04/2014 04:00,735699.166667,0.416667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.800000,2.942239,2.738300,0.008606,0.000000,5.961140,-4.916565,0.000000,-9.791001,0.000000,-30.039849,0.000000,-39.466471,0.000000,285.501572,0.000141,3600.000000
10/04/2014 05:00,735699.208333,0.458333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.919993,2.738983,2.439261,0.009850,0.000000,6.824033,-6.060856,0.000000,-10.335001,0.000000,-36.918456,0.000000,-39.896278,0.000000,283.549153,0.000076,3600.000000
10/04/2014 06:00,735699.250000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.140000,2.630270,2.377064,0.010454,0.000359,7.243516,-6.006643,0.527870,-9.349398,0.248654,-33.964375,2.490835,-36.836990,2.856525,287.001329,0.000045,3600.000000
