Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,10.000000 ,50.000000 ,200.000000 ,560.000000 ,1400.000000 ,3500.000000 ,7500.000000 ,16000.000000 ,36000.000000  
09/04/2014 18:00,735698.750000,0.000000,0,1,1,-4645.968521,-4608.726289,-4469.067916,-4133.887822,-3351.800937,-1396.583724,2327.639540,10241.613974,28862.730292 
09/04/2014 19:00,735698.791667,0.041667,1,1,1,-4665.636930,-4612.350633,-4469.242737,-4133.888611,-3351.882749,-1420.018577,1665.899842,8122.885720,21497.062628 
09/04/2014 20:00,735698.833333,0.083333,1,1,1,-4675.434644,-4616.826589,-4469.372039,-4133.889895,-3351.891365,-1420.687601,-31.706094,5357.282768,15663.243790 
09/04/2014 21:00,735698.875000,0.125000,1,1,1,-4681.858662,-4621.416009,-4469.570071,-4133.891931,-3351.900218,-1421.363626,-58.590796,2028.330637,10663.560418 
09/04/2014 22:00,735698.916667,0.166667,1,1,1,-4686.074565,-4625.703856,-4469.830590,-4133.894949,-3351.909311,-1422.045978,-83.180671,-10.100915,6649.991462 
09/04/2014 23:00,735698.958333,0.208333,1,1,1,-4690.716473,-4629.836101,-4470.149847,-4133.899166,-3351.918646,-1422.733027,-102.144699,-21.188489,2210.407282 
10/04/2014 00:00,735699.000000,0.250000,1,1,1,-4696.900611,-4634.119945,-4470.528692,-4133.904798,-3351.928224,-1423.423910,-118.127455,-31.050863,-8.596037 
10/04/2014 01:00,735699.041667,0.291667,1,1,1,-4702.207464,-4638.367107,-4470.965097,-4133.912057,-3351.938048,-1424.118059,-132.166601,-38.868335,-13.503330 
10/04/2014 02:00,735699.083333,0.333333,1,1,1,-4707.930237,-4642.660253,-4471.458199,-4133.921145,-3351.948119,-1424.815067,-144.805495,-45.673504,-17.397790 
10/04/2014 03:00,735699.125000,0.375000,1,1,1,-4708.776443,-4646.139389,-4471.993415,-4133.932211,-3351.958439,-1425.514620,-156.372375,-51.828886,-20.831142 
10/04/2014 04:00,735699.166667,0.416667,1,1,1,-4702.426838,-4647.725685,-4472.538848,-4133.945285,-3351.969009,-1426.216466,-167.083995,-57.514263,-23.974991 
10/04/2014 05:00,735699.208333,0.458333,1,1,1,-4699.512255,-4648.475804,-4473.083211,-4133.960350,-3351.979832,-1426.920399,-177.092594,-62.835520,-26.911428 
10/04/2014 06:00,735699.250000,0.500000,1,1,1,-4698.369803,-4648.926728,-4473.669082,-4133.977554,-3351.990908,-1427.626245,-186.510023,-67.861775,-29.687783 
