Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,10.000000 ,50.000000 ,200.000000 ,560.000000 ,1400.000000 ,3500.000000 ,7500.000000 ,16000.000000 ,36000.000000  
09/04/2014 18:00,735698.750000,0.000000,0,1,1,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000 
09/04/2014 19:00,735698.791667,0.041667,1,1,1,3.890355,3.964498,3.998774,3.999991,4.000000,4.000000,4.000000,4.000000,4.000000 
09/04/2014 20:00,735698.833333,0.083333,1,1,1,3.912483,3.950522,3.997126,3.999970,4.000000,4.000000,4.000000,4.000000,4.000000 
09/04/2014 21:00,735698.875000,0.125000,1,1,1,3.876965,3.930604,3.994871,3.999932,4.000000,4.000000,4.000000,4.000000,4.000000 
09/04/2014 22:00,735698.916667,0.166667,1,1,1,3.772064,3.884653,3.991139,3.999867,4.000000,4.000000,4.000000,4.000000,4.000000 
09/04/2014 23:00,735698.958333,0.208333,1,1,1,3.647133,3.816662,3.985242,3.999758,3.999999,4.000000,4.000000,4.000000,4.000000 
10/04/2014 00:00,735699.000000,0.250000,1,1,1,3.580580,3.754328,3.977481,3.999593,3.999999,4.000000,4.000000,4.000000,4.000000 
10/04/2014 01:00,735699.041667,0.291667,1,1,1,3.468337,3.680404,3.967547,3.999357,3.999998,4.000000,4.000000,4.000000,4.000000 
10/04/2014 02:00,735699.083333,0.333333,1,1,1,3.419518,3.619962,3.956009,3.999036,3.999997,4.000000,4.000000,4.000000,4.000000 
10/04/2014 03:00,735699.125000,0.375000,1,1,1,3.351420,3.561141,3.943002,3.998623,3.999995,4.000000,4.000000,4.000000,4.000000 
10/04/2014 04:00,735699.166667,0.416667,1,1,1,3.074660,3.435599,3.926293,3.998089,3.999993,4.000000,4.000000,4.000000,4.000000 
10/04/2014 05:00,735699.208333,0.458333,1,1,1,2.874596,3.295019,3.905543,3.997408,3.999989,4.000000,4.000000,4.000000,4.000000 
10/04/2014 06:00,735699.250000,0.500000,1,1,1,2.753171,3.170664,3.881506,3.996554,3.999985,4.000000,4.000000,4.000000,4.000000 
10/04/2014 07:00,735699.291667,0.541667,1,1,1,3.218208,3.245563,3.861215,3.995559,3.999980,4.000000,4.000000,4.000000,4.000000 
10/04/2014 08:00,735699.333333,0.583333,1,1,1,4.318013,3.644418,3.855664,3.994533,3.999973,4.000000,4.000000,4.000000,4.000000 
