Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,10.000000 ,50.000000 ,200.000000 ,560.000000 ,1400.000000 ,3500.000000 ,7500.000000 ,16000.000000 ,36000.000000  
09/04/2014 18:00,735698.750000,0.000000,0,1,1,0.294378,0.295018,0.297475,0.303787,0.321350,0.399808,0.530000,0.530000,0.530000 
09/04/2014 19:00,735698.791667,0.041667,1,1,1,0.294043,0.294955,0.297472,0.303787,0.321348,0.398321,0.530000,0.530000,0.530000 
09/04/2014 20:00,735698.833333,0.083333,1,1,1,0.293877,0.294878,0.297469,0.303787,0.321348,0.398279,0.528531,0.530000,0.530000 
09/04/2014 21:00,735698.875000,0.125000,1,1,1,0.293768,0.294799,0.297466,0.303787,0.321347,0.398237,0.526563,0.530000,0.530000 
09/04/2014 22:00,735698.916667,0.166667,1,1,1,0.293697,0.294725,0.297461,0.303786,0.321347,0.398194,0.524447,0.529702,0.530000 
09/04/2014 23:00,735698.958333,0.208333,1,1,1,0.293619,0.294655,0.297455,0.303786,0.321347,0.398151,0.522664,0.529162,0.530000 
10/04/2014 00:00,735699.000000,0.250000,1,1,1,0.293514,0.294581,0.297448,0.303786,0.321347,0.398107,0.521081,0.528573,0.529762 
10/04/2014 01:00,735699.041667,0.291667,1,1,1,0.293425,0.294508,0.297441,0.303786,0.321346,0.398064,0.519640,0.528051,0.529553 
10/04/2014 02:00,735699.083333,0.333333,1,1,1,0.293329,0.294435,0.297432,0.303786,0.321346,0.398020,0.518308,0.527563,0.529363 
10/04/2014 03:00,735699.125000,0.375000,1,1,1,0.293315,0.294375,0.297422,0.303786,0.321346,0.397976,0.517064,0.527098,0.529181 
10/04/2014 04:00,735699.166667,0.416667,1,1,1,0.293421,0.294348,0.297412,0.303786,0.321346,0.397932,0.515893,0.526650,0.529004 
10/04/2014 05:00,735699.208333,0.458333,1,1,1,0.293471,0.294336,0.297403,0.303785,0.321345,0.397888,0.514784,0.526217,0.528830 
10/04/2014 06:00,735699.250000,0.500000,1,1,1,0.293490,0.294328,0.297392,0.303785,0.321345,0.397843,0.513730,0.525795,0.528659 
10/04/2014 07:00,735699.291667,0.541667,1,1,1,0.293454,0.294287,0.297351,0.303784,0.321345,0.397799,0.512723,0.525384,0.528490 
10/04/2014 08:00,735699.333333,0.583333,1,1,1,0.293325,0.294161,0.297233,0.303783,0.321344,0.397755,0.511759,0.524983,0.528323 
10/04/2014 09:00,735699.375000,0.625000,1,1,1,0.292646,0.293702,0.296855,0.303781,0.321344,0.397710,0.510833,0.524591,0.528158 
