Iter  GoF  N  Alpha  ThetaSat  ThetaSat_bottomlayer  ThetaRes  LateralHydrConductivity  NormalHydrConductivity  SoilInitPresL0001  SoilInitPresL0002  SoilInitPresL0003  SoilInitPresL0004  SoilInitPresL0005  SoilInitPresL0006  SoilInitPresL0007  PsiGamma  
1   7.0000000E-02   1.5057686E+00   9.9433648E-03   4.6053355E-01   1.7078263E-01   6.0744538E-02   9.3245653E-02   9.3547897E-02  -6.6920166E+03  -7.4708903E+03  -6.5219457E+03  -4.3740522E+03  -7.4861770E+03  -2.3063547E+03  -5.9226788E+03   9.4863172E-01  
2   7.0000000E-02   1.5057686E+00   9.9433648E-03   4.6053355E-01   1.7078263E-01   6.0744538E-02   9.3245653E-02   9.3547897E-02  -6.6920166E+03  -7.4708903E+03  -6.5219457E+03  -4.3740522E+03  -7.4861770E+03  -2.3063547E+03  -5.9226788E+03   9.4863172E-01  
3   4.0000000E-02   1.4500000E+00   1.3100000E-03   5.3000000E-01   2.1000000E-01   5.0000000E-02   9.2300000E-02   1.0000000E-01  -3.5392880E+03  -8.8900579E+03  -6.8819424E+03  -5.5724736E+03  -5.3067886E+03  -7.4867893E+03  -8.7153090E+03   6.0000000E-01  
4   4.0000000E-02   1.4500000E+00   1.3100000E-03   5.3000000E-01   2.1000000E-01   5.0000000E-02   9.2300000E-02   1.0000000E-01  -3.5392880E+03  -8.8900579E+03  -6.8819424E+03  -5.5724736E+03  -5.3067886E+03  -7.4867893E+03  -8.7153090E+03   6.0000000E-01  
5   4.0000000E-02   1.4500000E+00   1.3100000E-03   5.3000000E-01   2.1000000E-01   5.0000000E-02   9.2300000E-02   1.0000000E-01  -3.5392880E+03  -8.8900579E+03  -6.8819424E+03  -5.5724736E+03  -5.3067886E+03  -7.4867893E+03  -8.7153090E+03   6.0000000E-01  
6   4.0000000E-02   1.4500000E+00   1.3100000E-03   5.3000000E-01   2.1000000E-01   5.0000000E-02   9.2300000E-02   1.0000000E-01  -3.5392880E+03  -8.8900579E+03  -6.8819424E+03  -5.5724736E+03  -5.3067886E+03  -7.4867893E+03  -8.7153090E+03   6.0000000E-01  
7   4.0000000E-02   1.4500000E+00   1.3100000E-03   5.3000000E-01   2.1000000E-01   5.0000000E-02   9.2300000E-02   1.0000000E-01  -3.5392880E+03  -8.8900579E+03  -6.8819424E+03  -5.5724736E+03  -5.3067886E+03  -7.4867893E+03  -8.7153090E+03   6.0000000E-01  
8   4.0000000E-02   1.4500000E+00   1.3100000E-03   5.3000000E-01   2.1000000E-01   5.0000000E-02   9.2300000E-02   1.0000000E-01  -3.5392880E+03  -8.8900579E+03  -6.8819424E+03  -5.5724736E+03  -5.3067886E+03  -7.4867893E+03  -8.7153090E+03   6.0000000E-01  
9   4.0000000E-02   1.4500000E+00   1.3100000E-03   5.3000000E-01   2.1000000E-01   5.0000000E-02   9.2300000E-02   1.0000000E-01  -3.5392880E+03  -8.8900579E+03  -6.8819424E+03  -5.5724736E+03  -5.3067886E+03  -7.4867893E+03  -8.7153090E+03   6.0000000E-01  
10   4.0000000E-02   1.4500000E+00   1.3100000E-03   5.3000000E-01   2.1000000E-01   5.0000000E-02   9.2300000E-02   1.0000000E-01  -3.5392880E+03  -8.8900579E+03  -6.8819424E+03  -5.5724736E+03  -5.3067886E+03  -7.4867893E+03  -8.7153090E+03   6.0000000E-01  
11   4.0000000E-02   1.4500000E+00   1.3100000E-03   5.3000000E-01   2.1000000E-01   5.0000000E-02   9.2300000E-02   1.0000000E-01  -3.5392880E+03  -8.8900579E+03  -6.8819424E+03  -5.5724736E+03  -5.3067886E+03  -7.4867893E+03  -8.7153090E+03   6.0000000E-01  
