GoF  N  Alpha  ThetaSat  ThetaRes  LateralHydrConductivity  NormalHydrConductivity
5.500000e-01  3.049782e+00  4.988097e-03  4.240192e-01  4.384304e-02  4.428229e-03  5.274519e-02
5.500000e-01  1.492915e+00  1.315156e-03  4.551641e-01  3.304161e-02  4.587696e-02  6.684231e-02
5.500000e-01  2.118605e+00  3.510534e-03  5.166222e-01  1.439770e-01  8.672978e-02  9.078543e-02
5.500000e-01  1.985301e+00  3.058233e-03  4.495433e-01  8.597191e-02  3.307983e-02  2.858389e-02
5.500000e-01  1.693010e+00  1.899054e-03  3.554859e-01  9.975069e-02  8.351043e-02  9.004187e-03
5.500000e-01  3.701481e+00  1.212139e-03  4.574454e-01  9.913123e-02  4.090444e-02  3.478054e-02
5.500000e-01  1.585316e+00  1.712330e-03  5.358333e-01  1.400681e-01  4.321395e-02  3.443049e-02
5.500000e-01  3.370011e+00  4.126486e-03  4.011051e-01  3.827527e-02  7.926387e-02  8.319207e-03
5.500000e-01  3.695125e+00  3.702098e-03  4.894359e-01  1.298223e-01  9.359337e-02  2.083518e-02
5.500000e-01  1.415851e+00  4.103827e-03  4.943466e-01  1.120200e-01  2.529110e-02  9.697741e-02
