Iter  Part  GoF  Model_Output  
1  1   1.0000000E-01   1.0000000E-01  
1  2   7.0000000E-02   7.0000000E-02  
1  3   8.0000000E-02   8.0000000E-02  
1  4   8.0000000E-02   8.0000000E-02  
1  5   8.0000000E-02   8.0000000E-02  
1  6   8.0000000E-02   8.0000000E-02  
2  1   1.2000000E-01   1.2000000E-01  
2  2   1.0000000E-01   1.0000000E-01  
2  3   8.0000000E-02   8.0000000E-02  
2  4   1.1000000E-01   1.1000000E-01  
2  5   1.0000000E-01   1.0000000E-01  
2  6   8.0000000E-02   8.0000000E-02  
3  1   1.0000000E-01   1.0000000E-01  
3  2   4.0000000E-02   4.0000000E-02  
3  3   5.0000000E-02   5.0000000E-02  
3  4   1.1000000E-01   1.1000000E-01  
3  5   4.0000000E-02   4.0000000E-02  
3  6   5.0000000E-02   5.0000000E-02  
4  1   4.0000000E-02   4.0000000E-02  
4  2   8.0000000E-02   8.0000000E-02  
4  3   1.0000000E-01   1.0000000E-01  
4  4   1.2000000E-01   1.2000000E-01  
4  5   9.0000000E-02   9.0000000E-02  
4  6   5.0000000E-02   5.0000000E-02  
5  1   8.0000000E-02   8.0000000E-02  
5  2   1.3000000E-01   1.3000000E-01  
5  3   1.0000000E-01   1.0000000E-01  
5  4   4.0000000E-02   4.0000000E-02  
5  5   7.0000000E-02   7.0000000E-02  
5  6   1.1000000E-01   1.1000000E-01  
6  1   8.0000000E-02   8.0000000E-02  
6  2   7.0000000E-02   7.0000000E-02  
6  3   1.1000000E-01   1.1000000E-01  
6  4   9.0000000E-02   9.0000000E-02  
6  5   8.0000000E-02   8.0000000E-02  
6  6   1.0000000E-01   1.0000000E-01  
7  1   1.0000000E-01   1.0000000E-01  
7  2   9.0000000E-02   9.0000000E-02  
7  3   7.0000000E-02   7.0000000E-02  
7  4   1.3000000E-01   1.3000000E-01  
7  5   5.0000000E-02   5.0000000E-02  
7  6   1.2000000E-01   1.2000000E-01  
8  1   1.1000000E-01   1.1000000E-01  
8  2   8.0000000E-02   8.0000000E-02  
8  3   1.1000000E-01   1.1000000E-01  
8  4   9.0000000E-02   9.0000000E-02  
8  5   1.3000000E-01   1.3000000E-01  
8  6   9.0000000E-02   9.0000000E-02  
9  1   1.2000000E-01   1.2000000E-01  
9  2   9.0000000E-02   9.0000000E-02  
9  3   1.2000000E-01   1.2000000E-01  
9  4   1.3000000E-01   1.3000000E-01  
9  5   1.0000000E-01   1.0000000E-01  
9  6   5.0000000E-02   5.0000000E-02  
10  1   9.0000000E-02   9.0000000E-02  
10  2   4.0000000E-02   4.0000000E-02  
10  3   9.0000000E-02   9.0000000E-02  
10  4   5.0000000E-02   5.0000000E-02  
10  5   7.0000000E-02   7.0000000E-02  
10  6   5.0000000E-02   5.0000000E-02  
11  1   6.0000000E-02   6.0000000E-02  
11  2   1.1000000E-01   1.1000000E-01  
11  3   4.0000000E-02   4.0000000E-02  
11  4   8.0000000E-02   8.0000000E-02  
11  5   1.1000000E-01   1.1000000E-01  
11  6   4.0000000E-02   4.0000000E-02  
12  1   5.0000000E-02   5.0000000E-02  
12  2   1.1000000E-01   1.1000000E-01  
12  3   7.0000000E-02   7.0000000E-02  
12  4   4.0000000E-02   4.0000000E-02  
12  5   4.0000000E-02   4.0000000E-02  
12  6   4.0000000E-02   4.0000000E-02  
13  1   6.0000000E-02   6.0000000E-02  
13  2   9.0000000E-02   9.0000000E-02  
13  3   5.0000000E-02   5.0000000E-02  
13  4   1.2000000E-01   1.2000000E-01  
13  5   5.0000000E-02   5.0000000E-02  
13  6   9.0000000E-02   9.0000000E-02  
14  1   1.0000000E-01   1.0000000E-01  
14  2   1.2000000E-01   1.2000000E-01  
14  3   1.0000000E-01   1.0000000E-01  
14  4   6.0000000E-02   6.0000000E-02  
14  5   6.0000000E-02   6.0000000E-02  
14  6   8.0000000E-02   8.0000000E-02  
15  1   5.0000000E-02   5.0000000E-02  
15  2   4.0000000E-02   4.0000000E-02  
15  3   1.2000000E-01   1.2000000E-01  
15  4   5.0000000E-02   5.0000000E-02  
15  5   5.0000000E-02   5.0000000E-02  
15  6   1.2000000E-01   1.2000000E-01  
16  1   8.0000000E-02   8.0000000E-02  
16  2   9.0000000E-02   9.0000000E-02  
16  3   5.0000000E-02   5.0000000E-02  
16  4   5.0000000E-02   5.0000000E-02  
16  5   6.0000000E-02   6.0000000E-02  
16  6   9.0000000E-02   9.0000000E-02  
17  1   1.0000000E-01   1.0000000E-01  
17  2   5.0000000E-02   5.0000000E-02  
17  3   1.0000000E-01   1.0000000E-01  
17  4   4.0000000E-02   4.0000000E-02  
17  5   6.0000000E-02   6.0000000E-02  
17  6   9.0000000E-02   9.0000000E-02  
18  1   5.0000000E-02   5.0000000E-02  
18  2   4.0000000E-02   4.0000000E-02  
18  3   1.1000000E-01   1.1000000E-01  
18  4   7.0000000E-02   7.0000000E-02  
18  5   5.0000000E-02   5.0000000E-02  
18  6   1.0000000E-01   1.0000000E-01  
19  1   8.0000000E-02   8.0000000E-02  
19  2   1.1000000E-01   1.1000000E-01  
19  3   7.0000000E-02   7.0000000E-02  
19  4   8.0000000E-02   8.0000000E-02  
19  5   5.0000000E-02   5.0000000E-02  
19  6   4.0000000E-02   4.0000000E-02  
20  1   7.0000000E-02   7.0000000E-02  
20  2   7.0000000E-02   7.0000000E-02  
20  3   8.0000000E-02   8.0000000E-02  
20  4   7.0000000E-02   7.0000000E-02  
20  5   1.1000000E-01   1.1000000E-01  
20  6   1.0000000E-01   1.0000000E-01  
