Iter  Part  GoF  Model_Output  
1  1   9.0000000E-02   9.0000000E-02  
1  2   7.0000000E-02   7.0000000E-02  
1  3   6.0000000E-02   6.0000000E-02  
1  4   8.0000000E-02   8.0000000E-02  
1  5   6.0000000E-02   6.0000000E-02  
2  1   7.0000000E-02   7.0000000E-02  
2  2   8.0000000E-02   8.0000000E-02  
2  3   9.0000000E-02   9.0000000E-02  
2  4   8.0000000E-02   8.0000000E-02  
2  5   6.0000000E-02   6.0000000E-02  
3  1   6.0000000E-02   6.0000000E-02  
3  2   1.0000000E-01   1.0000000E-01  
3  3   5.0000000E-02   5.0000000E-02  
3  4   5.0000000E-02   5.0000000E-02  
3  5   9.0000000E-02   9.0000000E-02  
4  1   7.0000000E-02   7.0000000E-02  
4  2   6.0000000E-02   6.0000000E-02  
4  3   8.0000000E-02   8.0000000E-02  
4  4   8.0000000E-02   8.0000000E-02  
4  5   7.0000000E-02   7.0000000E-02  
5  1   7.0000000E-02   7.0000000E-02  
5  2   8.0000000E-02   8.0000000E-02  
5  3   5.0000000E-02   5.0000000E-02  
5  4   7.0000000E-02   7.0000000E-02  
5  5   6.0000000E-02   6.0000000E-02  
6  1   1.1000000E-01   1.1000000E-01  
6  2   9.0000000E-02   9.0000000E-02  
6  3   7.0000000E-02   7.0000000E-02  
6  4   5.0000000E-02   5.0000000E-02  
6  5   7.0000000E-02   7.0000000E-02  
7  1   6.0000000E-02   6.0000000E-02  
7  2   5.0000000E-02   5.0000000E-02  
7  3   9.0000000E-02   9.0000000E-02  
7  4   5.0000000E-02   5.0000000E-02  
7  5   1.0000000E-01   1.0000000E-01  
8  1   1.1000000E-01   1.1000000E-01  
8  2   8.0000000E-02   8.0000000E-02  
8  3   9.0000000E-02   9.0000000E-02  
8  4   5.0000000E-02   5.0000000E-02  
8  5   7.0000000E-02   7.0000000E-02  
9  1   7.0000000E-02   7.0000000E-02  
9  2   7.0000000E-02   7.0000000E-02  
9  3   1.0000000E-01   1.0000000E-01  
9  4   6.0000000E-02   6.0000000E-02  
9  5   6.0000000E-02   6.0000000E-02  
10  1   7.0000000E-02   7.0000000E-02  
10  2   7.0000000E-02   7.0000000E-02  
10  3   6.0000000E-02   6.0000000E-02  
10  4   5.0000000E-02   5.0000000E-02  
10  5   1.2000000E-01   1.2000000E-01  
11  1   1.0000000E-01   1.0000000E-01  
11  2   5.0000000E-02   5.0000000E-02  
11  3   1.0000000E-01   1.0000000E-01  
11  4   9.0000000E-02   9.0000000E-02  
11  5   1.1000000E-01   1.1000000E-01  
12  1   1.2000000E-01   1.2000000E-01  
12  2   7.0000000E-02   7.0000000E-02  
12  3   5.0000000E-02   5.0000000E-02  
12  4   5.0000000E-02   5.0000000E-02  
12  5   6.0000000E-02   6.0000000E-02  
13  1   7.0000000E-02   7.0000000E-02  
13  2   1.0000000E-01   1.0000000E-01  
13  3   5.0000000E-02   5.0000000E-02  
13  4   1.0000000E-01   1.0000000E-01  
13  5   7.0000000E-02   7.0000000E-02  
14  1   7.0000000E-02   7.0000000E-02  
14  2   1.1000000E-01   1.1000000E-01  
14  3   7.0000000E-02   7.0000000E-02  
14  4   1.0000000E-01   1.0000000E-01  
14  5   9.0000000E-02   9.0000000E-02  
15  1   9.0000000E-02   9.0000000E-02  
15  2   6.0000000E-02   6.0000000E-02  
15  3   9.0000000E-02   9.0000000E-02  
15  4   6.0000000E-02   6.0000000E-02  
15  5   6.0000000E-02   6.0000000E-02  
16  1   9.0000000E-02   9.0000000E-02  
16  2   5.0000000E-02   5.0000000E-02  
16  3   1.2000000E-01   1.2000000E-01  
16  4   1.2000000E-01   1.2000000E-01  
16  5   7.0000000E-02   7.0000000E-02  
17  1   1.2000000E-01   1.2000000E-01  
17  2   9.0000000E-02   9.0000000E-02  
17  3   1.0000000E-01   1.0000000E-01  
17  4   6.0000000E-02   6.0000000E-02  
17  5   1.1000000E-01   1.1000000E-01  
18  1   5.0000000E-02   5.0000000E-02  
18  2   9.0000000E-02   9.0000000E-02  
18  3   1.1000000E-01   1.1000000E-01  
18  4   5.0000000E-02   5.0000000E-02  
18  5   1.0000000E-01   1.0000000E-01  
19  1   1.0000000E-01   1.0000000E-01  
19  2   5.0000000E-02   5.0000000E-02  
19  3   1.1000000E-01   1.1000000E-01  
19  4   6.0000000E-02   6.0000000E-02  
19  5   6.0000000E-02   6.0000000E-02  
20  1   1.1000000E-01   1.1000000E-01  
20  2   5.0000000E-02   5.0000000E-02  
20  3   7.0000000E-02   7.0000000E-02  
20  4   5.0000000E-02   5.0000000E-02  
20  5   6.0000000E-02   6.0000000E-02  
