Iter    Part1    Part2    Part3    Part4    Part5    Part6  
1   7.0000000E-02   6.0000000E-02   7.0000000E-02   7.0000000E-02   6.0000000E-02   7.0000000E-02  
2   6.0000000E-02   6.0000000E-02   4.0000000E-02   6.0000000E-02   5.0000000E-02   1.0000000E-01  
3   8.0000000E-02   5.0000000E-02   7.0000000E-02   5.0000000E-02   5.0000000E-02   8.0000000E-02  
4   6.0000000E-02   5.0000000E-02   5.0000000E-02   6.0000000E-02   5.0000000E-02   4.0000000E-02  
5   9.0000000E-02   6.0000000E-02   4.0000000E-02   5.0000000E-02   5.0000000E-02   6.0000000E-02  
6   8.0000000E-02   8.0000000E-02   4.0000000E-02   6.0000000E-02   5.0000000E-02   6.0000000E-02  
7   8.0000000E-02   9.0000000E-02   5.0000000E-02   9.0000000E-02   4.0000000E-02   6.0000000E-02  
8   4.0000000E-02   1.0000000E-01   1.0000000E-01   9.0000000E-02   9.0000000E-02   5.0000000E-02  
9   1.0000000E-01   5.0000000E-02   1.0000000E-01   6.0000000E-02   5.0000000E-02   7.0000000E-02  
10   9.0000000E-02   7.0000000E-02   8.0000000E-02   5.0000000E-02   8.0000000E-02   9.0000000E-02  
11   9.0000000E-02   5.0000000E-02   1.0000000E-01   5.0000000E-02   5.0000000E-02   7.0000000E-02  
12   5.0000000E-02   6.0000000E-02   6.0000000E-02   6.0000000E-02   8.0000000E-02   1.0000000E-01  
13   8.0000000E-02   6.0000000E-02   7.0000000E-02   6.0000000E-02   8.0000000E-02   7.0000000E-02  
14   4.0000000E-02   1.0000000E-01   8.0000000E-02   5.0000000E-02   4.0000000E-02   5.0000000E-02  
15   4.0000000E-02   5.0000000E-02   5.0000000E-02   5.0000000E-02   9.0000000E-02   7.0000000E-02  
16   5.0000000E-02   4.0000000E-02   5.0000000E-02   4.0000000E-02   9.0000000E-02   5.0000000E-02  
17   8.0000000E-02   5.0000000E-02   9.0000000E-02   4.0000000E-02   8.0000000E-02   5.0000000E-02  
18   9.0000000E-02   8.0000000E-02   1.0000000E-01   6.0000000E-02   5.0000000E-02   1.0000000E-01  
19   6.0000000E-02   5.0000000E-02   4.0000000E-02   1.0000000E-01   5.0000000E-02   7.0000000E-02  
20   6.0000000E-02   6.0000000E-02   5.0000000E-02   6.0000000E-02   9.0000000E-02   5.0000000E-02  
