Iter  Part1  Part2  Part3  Part4  Part5  Part6  
1   1.0000000E-01   7.0000000E-02   8.0000000E-02   8.0000000E-02   8.0000000E-02   8.0000000E-02  
2   1.0000000E-01   7.0000000E-02   8.0000000E-02   8.0000000E-02   8.0000000E-02   8.0000000E-02  
3   1.0000000E-01   4.0000000E-02   5.0000000E-02   8.0000000E-02   4.0000000E-02   5.0000000E-02  
4   4.0000000E-02   4.0000000E-02   5.0000000E-02   8.0000000E-02   4.0000000E-02   5.0000000E-02  
5   4.0000000E-02   4.0000000E-02   5.0000000E-02   4.0000000E-02   4.0000000E-02   5.0000000E-02  
6   4.0000000E-02   4.0000000E-02   5.0000000E-02   4.0000000E-02   4.0000000E-02   5.0000000E-02  
7   4.0000000E-02   4.0000000E-02   5.0000000E-02   4.0000000E-02   4.0000000E-02   5.0000000E-02  
8   4.0000000E-02   4.0000000E-02   5.0000000E-02   4.0000000E-02   4.0000000E-02   5.0000000E-02  
9   4.0000000E-02   4.0000000E-02   5.0000000E-02   4.0000000E-02   4.0000000E-02   5.0000000E-02  
10   4.0000000E-02   4.0000000E-02   5.0000000E-02   4.0000000E-02   4.0000000E-02   5.0000000E-02  
11   4.0000000E-02   4.0000000E-02   4.0000000E-02   4.0000000E-02   4.0000000E-02   4.0000000E-02  
12   4.0000000E-02   4.0000000E-02   4.0000000E-02   4.0000000E-02   4.0000000E-02   4.0000000E-02  
13   4.0000000E-02   4.0000000E-02   4.0000000E-02   4.0000000E-02   4.0000000E-02   4.0000000E-02  
14   4.0000000E-02   4.0000000E-02   4.0000000E-02   4.0000000E-02   4.0000000E-02   4.0000000E-02  
15   4.0000000E-02   4.0000000E-02   4.0000000E-02   4.0000000E-02   4.0000000E-02   4.0000000E-02  
16   4.0000000E-02   4.0000000E-02   4.0000000E-02   4.0000000E-02   4.0000000E-02   4.0000000E-02  
17   4.0000000E-02   4.0000000E-02   4.0000000E-02   4.0000000E-02   4.0000000E-02   4.0000000E-02  
18   4.0000000E-02   4.0000000E-02   4.0000000E-02   4.0000000E-02   4.0000000E-02   4.0000000E-02  
19   4.0000000E-02   4.0000000E-02   4.0000000E-02   4.0000000E-02   4.0000000E-02   4.0000000E-02  
20   4.0000000E-02   4.0000000E-02   4.0000000E-02   4.0000000E-02   4.0000000E-02   4.0000000E-02  
